title,artist,link
Standing Female Nude (1969),Rosemary Matheson,___/record/21098?highlight=*:*
Unknown,Alan J McLeod,___/record/53604?highlight=*:*
Standing Female Nude (1949),Zygmunt Bukowski,___/record/22638?highlight=*:*
Unknown (Circa 1890),Unknown,___/record/50462?highlight=*:*
Unknown (1950),John W. Corner,___/record/50517?highlight=*:*
Portrait of a Boy Seated (17 MAR 1955),Norma Macgregor,___/record/21220?highlight=*:*
Portrait of a Seated Woman (1950),Alexander F Mitchell,___/record/21053?highlight=*:*
Two Views of a Man Seated (1959),Grace Nichol,___/record/21120?highlight=*:*
Untitled (2002),Elaine Bay,___/record/99948?highlight=*:*
Parthenon Frieze in Miniature (Unknown),John Henning,___/record/20584?highlight=*:*
Composition in Grey and Pink (1978),Eve F. Thomson,___/record/122770?highlight=*:*
Unknown (1946),Marjorie Wallace,___/record/50440?highlight=*:*
Unknown,Unknown,___/record/53503?highlight=*:*
Seated Female Nude (1994-1995),Nicholas Otter,___/record/21510?highlight=*:*
Still Life,Zygmunt Bukowski,___/record/122895?highlight=*:*
Bust of Apollo Belvedere,Unknown,___/record/20581?highlight=*:*
Portrait of a Woman (1969),Jennifer M. Hughes,___/record/123341?highlight=*:*
Reclining Female Nude (1955),Fiona C MacCormick,___/record/21014?highlight=*:*
Unknown,Unknown,___/record/50395?highlight=*:*
Untitled - Man at a Factory (1966-1967),Gregor Smith,___/record/99397?highlight=*:*
Unnamed (2002),Ky Ober,___/record/99950?highlight=*:*
Untitled (Unknown),Unknown,___/record/99825?highlight=*:*
Unknown,Derek McGuire,___/record/50431?highlight=*:*
Unknown (Circa 1890),Unknown,___/record/50466?highlight=*:*
Woman in Pink Cardigan (1983-1988),Renny Tait,___/record/21503?highlight=*:*
Portrait of a Woman (1969),Lynn Bushell,___/record/21093?highlight=*:*
Wall hanging,Winsome Douglass,___/record/113837?highlight=*:*
Landscape,Donald Clark,___/record/21490?highlight=*:*
Bar at 1732 St Charles (02 AUG 1973),Jonathan Woodham,___/record/21433?highlight=*:*
Untitled (1963),Monika L. Uecher,___/record/21774?highlight=*:*
Drawing of a Man's Head (1955),James Robertson,___/record/20804?highlight=*:*
Standing Male Nude (1958),Peter Standen,___/record/20863?highlight=*:*
Unknown (1953-1954),Peter G. Collins,___/record/50540?highlight=*:*
Untitled (2002),Adrian Rodriguez,___/record/99944?highlight=*:*
Portrait of a Man in Spectacles (1958),Richard McNeill,___/record/20891?highlight=*:*
Abstract (1966-1971),John F. Mooney,___/record/123507?highlight=*:*
Saucer,Emma Gillies,___/record/53662?highlight=*:*
Minotaur,Paul Duffus,___/record/122800?highlight=*:*
Untitled - Horses and Riders (1963),Jean M. Marshall,___/record/99363?highlight=*:*
Untitled (Unknown),Dilys R. Lovell,___/record/21574?highlight=*:*
Composition with Stripes and Full Moon (Circa 1973),Peter Bewsey,___/record/20759?highlight=*:*
Portrait of a Man (1959),C Byron,___/record/20913?highlight=*:*
"""Mr Smith can't remove himself because he doesn't want to""",Ronald D. Forbes,___/record/22583?highlight=*:*
Untitled,Susan Pettinger,___/record/112500?highlight=*:*
untitled,Joyce M Cumming,___/record/112357?highlight=*:*
Abstract Butterfly (1961),John G. Mitchell,___/record/122911?highlight=*:*
Untitled (Unknown),Anna Chapman,___/record/21603?highlight=*:*
Untitled (1965),Hugh Tuckerman,___/record/22025?highlight=*:*
Untitled (Unknown),J.,___/record/21953?highlight=*:*
A Puppet of Power (Circa 1956),Peter G. Collins,___/record/22576?highlight=*:*
Untitled (1966),Molly Harris,___/record/99834?highlight=*:*
Untitled (Unknown),Nicholas File,___/record/21781?highlight=*:*
Back of Standing Male Nude with Stick (1954),John P Busby,___/record/21377?highlight=*:*
Untitled - Abstract Blue and Green Squares (1994),Roger Elliot,___/record/99461?highlight=*:*
River Scene with Boats (Circa 1954),Valerie M. Fraser,___/record/122891?highlight=*:*
Untitled,Douglas Cook,___/record/22567?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,___/record/20710?highlight=*:*
Garden of Eden (1987),Unknown,___/record/21608?highlight=*:*
Lucca (1949),J. C. Grant Duncan,___/record/21367?highlight=*:*
Untitled (1962),Leslie Johns,___/record/21767?highlight=*:*
Untitled (2007),Matt Carter,___/record/99975?highlight=*:*
Untitled (2002),Kirsty MacDonald,___/record/99949?highlight=*:*
Portrait of a Woman (Carole Danielson) (1964),Kirkland Main,___/record/21168?highlight=*:*
Swirlings (1989),Dorothy Black,___/record/21972?highlight=*:*
Woman with Cigarettes (Circa 1964),Kirkland Main,___/record/122718?highlight=*:*
Untitled (1961),Dr Ainslie Yule,___/record/99531?highlight=*:*
Saucer,Emma Gillies,___/record/53621?highlight=*:*
Pair of sleeves,Unknown,___/record/102676?highlight=*:*
Flowers Behind the Door (1953),Bernard Reder,___/record/21658?highlight=*:*
Untitled (Unknown),Ruth Beale,___/record/21942?highlight=*:*
Architectural Interior (1980s),Kathleen A. Binns,___/record/21430?highlight=*:*
"Commercial Street, Leith (1950)",John W. Corner,___/record/21828?highlight=*:*
Unknown (1968),Gillian Mather,___/record/53589?highlight=*:*
Portrait of a Man (Circa 1952),John Houston,___/record/21351?highlight=*:*
Untitled (2002),Zillah Green,___/record/99951?highlight=*:*
Portrait of a Woman (1959),V Thomson,___/record/20961?highlight=*:*
Unknown (1949),Mary D Thomson,___/record/50452?highlight=*:*
Untitled - City Scene at Night (1964-1965),William Gillon,___/record/99483?highlight=*:*
The Bakery,Mollie E N Langlands,___/record/122688?highlight=*:*
Hibernation (1987),Alastair Mack,___/record/21842?highlight=*:*
Seated Female Nude (1957),Isobel Howieson,___/record/20962?highlight=*:*
Portrait of a Woman (1939),Olivia Cochrane,___/record/21132?highlight=*:*
Summer Rain (1984),Tom Pow,___/record/122727?highlight=*:*
Reclining Male Nude (06 NOV 1967),Sybil Erskine,___/record/21111?highlight=*:*
Untitled (1960),Kathleen Russell,___/record/99519?highlight=*:*
Untitled (1997),Sera K,___/record/21779?highlight=*:*
Reclining Nude (1968),Michael Docherty,___/record/21177?highlight=*:*
Portrait of a Seated Woman (1962),Carl O Ekevall,___/record/21286?highlight=*:*
Crazily Paved (Unknown),John Brown,___/record/21661?highlight=*:*
South Frieze of the Parthenon Frieze (1836-1837),NA,___/record/20690?highlight=*:*
Portrait of Man in a Hat (1951),Adam Hogg,___/record/21239?highlight=*:*
Man and Woman in Brown (Circa 1975),Robin Paine,___/record/22585?highlight=*:*
Unknown (1968),Maureen Purcell,___/record/53588?highlight=*:*
Female Nude with Pitcher,Samuel John Peploe,___/record/20736?highlight=*:*
The Cape of Good Hope Pub,Ella Smith,___/record/21429?highlight=*:*
Still Life with Triumphal Arch (Circa 1958),Alan M. Alexander,___/record/122886?highlight=*:*
Espresso Cup (1920s),Emma Gillies,___/record/53694?highlight=*:*
Still Life with Torn Paper Collage,Unknown,___/record/122783?highlight=*:*
Untitled (Unknown),Unknown,___/record/21566?highlight=*:*
West Coast Seascape (Unknown),Catherine Orbach,___/record/21790?highlight=*:*
Double Portrait (Circa 1981),Elizabeth A. Adamson,___/record/123291?highlight=*:*
Portrait of a Seated Man (MAY 1960),John Gilbert,___/record/20996?highlight=*:*
Portrait of a Man,Michael Douleny,___/record/21480?highlight=*:*
Portrait of a Woman (1962),Helen Wishart,___/record/21297?highlight=*:*
Portrait of a Woman (1959),Kenneth Dingwall,___/record/21328?highlight=*:*
Seated Female Nude (1959),C Byron,___/record/20917?highlight=*:*
Figure of Dionysos from the Parthenon (east pediment) (1837),Westmacott,___/record/20632?highlight=*:*
Inverleith,Janice McNab,___/record/22526?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,___/record/20728?highlight=*:*
Notes for Final Composition (23 SEP 1985),Unknown,___/record/53539?highlight=*:*
Portrait (1953),George Roderick Carmichael,___/record/22644?highlight=*:*
Piana degli Greci (1958),Beatrice Patricia Grimshaw,___/record/53481?highlight=*:*
Step 3 (2013),Maria Hadam,___/record/21308?highlight=*:*
Standing Male Nude (1964),Kirkland Main,___/record/21169?highlight=*:*
Untitled (1946),Vivian Chapman,___/record/21735?highlight=*:*
Untitled (1987),Martin McInally,___/record/21939?highlight=*:*
Barley Field (1963),Anne E Jones,___/record/99257?highlight=*:*
Seated Female Nude (1953),Diana Douglas-Hamilton,___/record/20927?highlight=*:*
Untitled (1965),Euphemia (Fay) S. Wright,___/record/22496?highlight=*:*
Unknown (1960),Hugh Deans,___/record/53577?highlight=*:*
Abstract in Grey and Brown (1994),Paul Dalrymple,___/record/122904?highlight=*:*
Teacup,Emma Gillies,___/record/53634?highlight=*:*
Modesty vest,Unknown,___/record/102682?highlight=*:*
Untitled,Marjorie-Ann Ancell,___/record/21612?highlight=*:*
Unknown (MAR 1960),John Gilbert,___/record/53492?highlight=*:*
Untitled (1989),Joanne Leonie Milne,___/record/21562?highlight=*:*
Sitting Nude Woman (1952),Maureen Baird,___/record/122880?highlight=*:*
Untitled - Abstract Figures and Shapes (1965-1966),James B. Thomson,___/record/99449?highlight=*:*
Unknown (1962),Lesley M. Johns,___/record/50502?highlight=*:*
Unknown (1960),Hugh Deans,___/record/53576?highlight=*:*
Untitled (1946),Eileen Bennett,___/record/21733?highlight=*:*
Farmland (possibly),Donald Clark,___/record/21488?highlight=*:*
The Strike (1953),Robert Marx,___/record/21691?highlight=*:*
"St Mary's, Cilly Oct 27 1927 (27 OCT 1927)",Ben Nicholson,___/record/53471?highlight=*:*
Fields with Haystacks (1953),Iain West,___/record/20851?highlight=*:*
Architectural Scene (1989),Joanne Leonie Milne,___/record/21451?highlight=*:*
Rooftops,A McIntosh,___/record/21465?highlight=*:*
Unknown (1949),Margaret Moodie,___/record/50492?highlight=*:*
Madonna of the Roses (2007),Rachael Cawley,___/record/99968?highlight=*:*
Unknown,Alan M. Alexander,___/record/50599?highlight=*:*
Bird in Flight (1988),Wilhelmina Barns-Graham CBE HRSA HRSW,___/record/99302?highlight=*:*
Portrait of a Seated Woman (1962),Elizabeth G. Kellar,___/record/21293?highlight=*:*
Unknown (1957),Lawrence F. Baxter,___/record/50617?highlight=*:*
Portrait of a Man (1956),J Gorman,___/record/21181?highlight=*:*
Portrait of a Man in a Suit (Mar 1963),John Bellany,___/record/20776?highlight=*:*
Portrait of a Seated Woman (1960s),Sandra Miller,___/record/21278?highlight=*:*
Water Dance (Porthmeor) IV (2006),Wilhelmina Barns-Graham CBE HRSA HRSW,___/record/54753?highlight=*:*
Composition (1987),Gordon W. Boyd,___/record/22564?highlight=*:*
Elderly Man in Military Costume (1952),Frances Walker,___/record/20847?highlight=*:*
Standing Male Nude (1958),Jacqueline A N Stieger,___/record/20786?highlight=*:*
Student in the Studio,Leon Francesco Morrocco,___/record/21401?highlight=*:*
Untitled (1966),Simone Walker,___/record/22477?highlight=*:*
Unknown,Edith Duke,___/record/53525?highlight=*:*
Untitled (1962),Carl O Ekevall,___/record/99496?highlight=*:*
Tangled Leaves,Susan Alexander,___/record/50401?highlight=*:*
Portrait of a Man (1980s),Kirsty E. Raitt,___/record/21439?highlight=*:*
Standing Male Nude (1959),Grace Nichol,___/record/20956?highlight=*:*
Reclining Female Nude (1952),John Houston,___/record/21352?highlight=*:*
Unitled (Unknown),S J Dooley,___/record/99909?highlight=*:*
Reclining Nude Woman (1962),Norma M. Kirk,___/record/122692?highlight=*:*
For Mayte Carrasco (Unknown),Elspeth Lamb,___/record/21887?highlight=*:*
Balmacarra,Sir William George Gillies,___/record/47435?highlight=*:*
Untitled (Unknown),Unknown,___/record/21881?highlight=*:*
Still Life with Decanter (1962),Kathleen B. Russell,___/record/122780?highlight=*:*
Sedilia from Lincluden Collegiate Church (1912),Joseph Cavagnari,___/record/20568?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,___/record/20699?highlight=*:*
Untitled (2007),Frea Buckler,___/record/99967?highlight=*:*
Passing Barges (1963),Geoffrey J Roper,___/record/99369?highlight=*:*
"Architrave and lintel from Collegiate Church of St Gertrude, Nivelles, Belgium (Anglo-Saxon)",Unknown,___/record/20552?highlight=*:*
Unknown (1946),Allan Lefley,___/record/50485?highlight=*:*
A Head (Unknown),Unknown,___/record/21561?highlight=*:*
Interior (Circa 1975),Brian D. Henderson,___/record/22623?highlight=*:*
Unknown (1975),Ruth Stiven,___/record/50398?highlight=*:*
Male Portrait (1959),Denness Morton,___/record/22710?highlight=*:*
Portrait of a Man (1959),NA,___/record/20973?highlight=*:*
Unknown,Gordon Anderson,___/record/50411?highlight=*:*
Abstract in Brown and Blue (1988),George M. Glen,___/record/22565?highlight=*:*
Unknown (1950),Patrick W. Barclay,___/record/50620?highlight=*:*
Self Portrait at an Easel (Circa 1961),Ann F Ward,___/record/122816?highlight=*:*
Unknown (1961),John Binning,___/record/53587?highlight=*:*
Gem cabinet 5 (of 6) containing 43 medallions (Unknown),Unknown,___/record/20619?highlight=*:*
"Couplings, Paper bags (2017)",Tessa Lynch,___/record/102737?highlight=*:*
John Stone (1950),David McClure,___/record/22666?highlight=*:*
Standing Nude Woman (1964),William M. McG. Gillon,___/record/122755?highlight=*:*
Theatre (Unknown),Rob McLaurin,___/record/21749?highlight=*:*
Unknown (1960),Alan M. Alexander,___/record/50596?highlight=*:*
Interior of Glasshouse at Botanical Gardens (1982),Rena R. Simpson II,___/record/99332?highlight=*:*
Untitled,Unknown,___/record/99860?highlight=*:*
Swedish coffee pot cover,Unknown,___/record/102687?highlight=*:*
Untitled,Bennett,___/record/111042?highlight=*:*
Still Life and Boat at Sea (1961),Vivien Alexander,___/record/122849?highlight=*:*
Leprosy Capital (Diptych),Paul J Donaldson,___/record/21444?highlight=*:*
Untitled (1980),Unknown,___/record/99823?highlight=*:*
Unknown (1955),Alejandro B. Brasó,___/record/50603?highlight=*:*
Untitled (1967),William G.H. Fulton,___/record/99820?highlight=*:*
Sunset (1959),Denness Morton,___/record/21081?highlight=*:*
Fish and Circles (Circa 1982),Wilhelmina Barns-Graham CBE HRSA HRSW,___/record/54747?highlight=*:*
Drawing of Dominico Mancini (1946),Dorothy M. Peach,___/record/21740?highlight=*:*
Reclining Female Nude on Bed with White Drapes (1994),Susan J. Anderson,___/record/122963?highlight=*:*
Portrait of a Man (1968),Doreen Turner,___/record/21271?highlight=*:*
Plakati Hrvatskog Narodnog Kazališta Split (1984),Boris Bućan,___/record/22036?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,___/record/20708?highlight=*:*
Untitled (1962),Robert S. Crozier,___/record/112311?highlight=*:*
Untitled (1966),Helen G. S Forde,___/record/99817?highlight=*:*
Studio Interior (Unknown),Hilary A. Fisher,___/record/21678?highlight=*:*
Untitled (1996),Jennifer C. Lindsay,___/record/21929?highlight=*:*
Woman Seated (1954),John P Busby,___/record/21380?highlight=*:*
Untitled (Unknown),Wendy Gunn,___/record/21719?highlight=*:*
Untitled - Drawing of a Girl Sitting in Profile (1964-1965),Gordon Bryce,___/record/99325?highlight=*:*
Border Wayleave (1990),Hazel Holmes,___/record/22523?highlight=*:*
Reclining Nude with Jacket (1967),Christine Malcolm,___/record/21266?highlight=*:*
Standing Female Nude (1957),Peter Coyle,___/record/20969?highlight=*:*
Portrait of a Seated Woman (1958),Alan Alexander,___/record/21166?highlight=*:*
Portrait of a Woman (1953),A Scott,___/record/21198?highlight=*:*
Untitled - Woman in Hat with Ribbon (1980),Carolyn S Byres,___/record/99426?highlight=*:*
Portrait of Andrew Gorrie (1964),Joyce M Cumming,___/record/21347?highlight=*:*
Unknown,Jeffery Camp,___/record/50564?highlight=*:*
Standing Male Nude with Staff (1960),Derek Shiel,___/record/20815?highlight=*:*
Untitled (1981-1986),Paul John Croft,___/record/21860?highlight=*:*
Untitled (1964),James Goodall,___/record/99847?highlight=*:*
Untitled - Two Boys in Patterned Shirts (1985-1986),Dorothy Black,___/record/99467?highlight=*:*
Italian Cityscape (1953-1954),Trevor Stubley,___/record/20798?highlight=*:*
Portrait of a Man (Circa 1951),Helmut F G Petzsch,___/record/21391?highlight=*:*
"Metope 9, south entablature, Parthenon (1837)",NA,___/record/20645?highlight=*:*
Unknown (1950),Muriel Davidson,___/record/53476?highlight=*:*
Standing Nude Woman (1955),Edith C. Duke,___/record/122832?highlight=*:*
Chinese spectacle case,Unknown,___/record/102704?highlight=*:*
Seated Male Nude (17 FEB 1959),A Robson,___/record/20937?highlight=*:*
Male Nude on Step Ladders,Helen G. S Forde,___/record/22671?highlight=*:*
Still Life Jugs (1957),Beatrice Patricia Grimshaw,___/record/122878?highlight=*:*
Untitled (JAN 1997),Sharon Cornwill,___/record/21920?highlight=*:*
Untitled - Sitting Nude Woman (1968),Alastair Burns,___/record/99475?highlight=*:*
Portrait of a Woman (1950),Zygmunt Bukowski,___/record/21368?highlight=*:*
Self Portrait - Male,Alexander Cree,___/record/22697?highlight=*:*
Teapot (1924),Emma Gillies,___/record/53742?highlight=*:*
Untitled (1963),Carol Handyside,___/record/99842?highlight=*:*
Gem cabinet 2 (of 6) containing 43 medallions (Unknown),Unknown,___/record/20616?highlight=*:*
Portrait of Man at a Writing Bureau,Unknown,___/record/122768?highlight=*:*
The Thinker (1969),Marko Krsmanovic,___/record/21647?highlight=*:*
Landscape (possibly),Donald Clark,___/record/21487?highlight=*:*
On Italian Balcony,Muriel Davidson,___/record/53477?highlight=*:*
Church (1989),Joanne Leonie Milne,___/record/21452?highlight=*:*
Seated Female Nude (1953),Robert L Thomson,___/record/21122?highlight=*:*
Leopard (1920s),Emma Gillies,___/record/122123?highlight=*:*
Abstract Landscape (Circa 1964),Kirkland Main,___/record/21171?highlight=*:*
Food Print (2006),Tomoko Kawanaka,___/record/99862?highlight=*:*
Untitled (1965),Julia A M Barnard,___/record/99382?highlight=*:*
Self Portrait (1950),William James Laidlaw Baillie,___/record/21361?highlight=*:*
Chariot from North Frieze of the Parthenon (1836-1837),NA,___/record/20714?highlight=*:*
Standing Man with Scythe (1950s),John Houston,___/record/21046?highlight=*:*
Pyreneen Vogel (2002),Frances Ryan,___/record/21806?highlight=*:*
Untitled,NA,___/record/111044?highlight=*:*
Three studies on a pink ground (girl with clasped hands) (1949),Barbara Hepworth,___/record/20769?highlight=*:*
Untitled - Three Figures At the Opera (1963),Ann F Ward,___/record/99344?highlight=*:*
Placa del Sol (1991),Caroline Conway,___/record/21839?highlight=*:*
Jug (1920s),Emma Gillies,___/record/53741?highlight=*:*
Hare (1920s),Emma Gillies,___/record/122127?highlight=*:*
Standing Male Nude (1959),James C. Y. Gavin,___/record/20877?highlight=*:*
Self Portrait (1992),Victoria A. James,___/record/22742?highlight=*:*
Standing Female Nude,Alastair Fairweather,___/record/50424?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,___/record/20672?highlight=*:*
Untitled (Unknown),Joanne Leonie Milne,___/record/21947?highlight=*:*
Portrait of a Seated Man in a Cap (1960),Kenneth Muir,___/record/20983?highlight=*:*
Unknown (1950),Alexander Cree,___/record/50541?highlight=*:*
Untitled (1962),Ethel V Hope,___/record/99836?highlight=*:*
Still Life with Drapes (1966),James H. Fairgrieve,___/record/22651?highlight=*:*
Green and Red Still Life,Jacqueline A. Waterson,___/record/122814?highlight=*:*
Winter Fence (1977),Alfons Bytautas,___/record/21549?highlight=*:*
untitled (1984),David Hosie,___/record/112340?highlight=*:*
Untitled - Portrait of Red-Haired Woman (1965),Ian Paterson,___/record/99410?highlight=*:*
Untitled (1967),Ian Roy,___/record/21757?highlight=*:*
Bridge at Night,H. Livingstone,___/record/22535?highlight=*:*
Untitled (1963),Janette Brown,___/record/22008?highlight=*:*
Unknown,Unknown,___/record/50417?highlight=*:*
Standing Male Nude with White Cloth,Janet I. Coventry,___/record/22665?highlight=*:*
Drawn from Nature Exhibition Poster (Unknown),Unknown,___/record/21847?highlight=*:*
Untitled (2003),Sarah Jamieson,___/record/99925?highlight=*:*
Portrait of a Woman (FEB 1952),Martin G C McKeown,___/record/21414?highlight=*:*
Standing Female Nude,Unknown,___/record/22730?highlight=*:*
2. (a) Baskerville Serif (1972),Anthony Benjamin,___/record/21669?highlight=*:*
Still Life with Bowl of Fruit (1964),William M. McG. Gillon,___/record/122877?highlight=*:*
Five Figures in Light and Shade (1960),Ann F Ward,___/record/123104?highlight=*:*
Unknown (1966),John Nelson,___/record/50497?highlight=*:*
Untitled - Portrait of a Nude Female (1972),Lindsay R S Gordon,___/record/99421?highlight=*:*
Unknown (1949),Betty Elston,___/record/50580?highlight=*:*
Composition with Sinking Ship and Lightbulb (1986),David Hosie,___/record/99529?highlight=*:*
Dorothy Allsop sampler (1936),Unknown,___/record/102697?highlight=*:*
Performing Labour in an Industrial Setting II (2020),Aisling Ward,___/record/113776?highlight=*:*
Oedipus is King (Circa 1964),Kirkland Main,___/record/122717?highlight=*:*
Untitled (1962),Janette Brown,___/record/99375?highlight=*:*
Portrait of a Woman at a Table (1960),Dorothea Brown,___/record/20995?highlight=*:*
Circus (1950),Cecile E M Johnston,___/record/21027?highlight=*:*
Figures by a canal (Circa 1987),John Picking,___/record/122740?highlight=*:*
Composition with Washing Line (Circa 1987),Gary Ferguson,___/record/22620?highlight=*:*
Portrait of a Young Man (1951),James P W Syme,___/record/21240?highlight=*:*
Standing Male Nude (1958),Andrew P. W. Conkie,___/record/22716?highlight=*:*
Sitting Nude Woman (Circa 1975),Fiona G. Robertson,___/record/123342?highlight=*:*
Untitled - Portrait of A Woman (1982),Tina-Marja Leppanen-Ritchie,___/record/99434?highlight=*:*
Men in a Rugby Changing Room (Circa 1952),Trevor Stubley,___/record/21412?highlight=*:*
Portrait of a Seated Man (1951),James P W Syme,___/record/21370?highlight=*:*
Seated Figure Reading Newspaper,Angus C. A. Hood,___/record/22610?highlight=*:*
Unknown (1968),Kenneth R Duffy,___/record/99514?highlight=*:*
Portrait of Seated Woman Reading (1953),Roy McCallum,___/record/20898?highlight=*:*
Lepidopterists (1951),Valerie A. Cockburn (Gage),___/record/122822?highlight=*:*
Nude,Zygmunt Bukowski,___/record/22654?highlight=*:*
Bloomers,Unknown,___/record/102663?highlight=*:*
Untitled (1994),Sara Ogilvie,___/record/21961?highlight=*:*
Embroidered cloth,Winsome Douglass,___/record/113836?highlight=*:*
Distortion 2 (2014),Ainsley Francis,___/record/47453?highlight=*:*
Abstract,C Pulsford,___/record/21084?highlight=*:*
Portrait - Woman (1963),Janette R. Brown,___/record/123334?highlight=*:*
Horse (1920s),Emma Gillies,___/record/122122?highlight=*:*
Rabbit,Emma Gillies,___/record/53751?highlight=*:*
Espresso Saucer (1920s),Emma Gillies,___/record/53682?highlight=*:*
Graveyard and Church (possibly),John Brown,___/record/21525?highlight=*:*
Seated Nude at Washbasin (1963),Kathleen B. Russell,___/record/122786?highlight=*:*
Plate,Emma Gillies,___/record/53721?highlight=*:*
Bearded Man Sitting (Circa 1973),Catherine A. MacLean,___/record/22621?highlight=*:*
Head of a Woman (1948),Gavin Stuart,___/record/20827?highlight=*:*
Male Model (Circa 1966),James H. Fairgrieve,___/record/122819?highlight=*:*
Untitled - Still Life of Kitchen Table in Orange (1963),William O. Little,___/record/99269?highlight=*:*
Portrait of a Man (1970),Karol Prentice,___/record/122735?highlight=*:*
Unknown (1968),Paul Youngs,___/record/53591?highlight=*:*
Untitled (1962),Deborah Eadie,___/record/112447?highlight=*:*
Opuntia Basilaris Engelmann and Bigelow 1957 (1993-1994),Jane Watt,___/record/99459?highlight=*:*
Abstract City Landscape (1967),Christine Watson,___/record/53609?highlight=*:*
The Canteen (1947),Marjorie B. Wallace,___/record/122778?highlight=*:*
Standing Woman,John Bellany,___/record/20766?highlight=*:*
Ravenscraig Castle (1953),Ian J. D. Short,___/record/122775?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,___/record/20718?highlight=*:*
Untitled - Bird Cage (1965-1966),Norman Orr,___/record/99407?highlight=*:*
Back of Woman wearing Long Dress with Bustle (1955-1956),Jacqueline A N Stieger,___/record/20822?highlight=*:*
Portrait of a Woman (1949),Leszek Muszynski,___/record/21076?highlight=*:*
Untitled (Unknown),Marjorie Ann,___/record/99907?highlight=*:*
Unknown (1960),Denness Morton,___/record/53547?highlight=*:*
Untitled - Men and Fishing Nets (1963),Ann F Ward,___/record/99345?highlight=*:*
Teacup,Emma Gillies,___/record/53638?highlight=*:*
Machine stitched net (1946),Unknown,___/record/102688?highlight=*:*
"Untitled - Abstract Orange, Blue, and Brown Shapes (1963)",Anthony J Valentine,___/record/99442?highlight=*:*
Portrait of a Woman (1956),Joan Rogers,___/record/21187?highlight=*:*
Unknown (1964),McKinnell,___/record/50478?highlight=*:*
Cityscape,Norman Taylor,___/record/22582?highlight=*:*
Untitled,Roy M. W. Cameron,___/record/112348?highlight=*:*
Espresso Cup (1920s),Emma Gillies,___/record/53693?highlight=*:*
Horse and Cart (1956),Moira E. Brown,___/record/22712?highlight=*:*
Teacup,Emma Gillies,___/record/53639?highlight=*:*
Untitled,Sara Gough,___/record/112504?highlight=*:*
Portrait of a Boy (1950),Cecile E. M. Johnstone,___/record/22667?highlight=*:*
Embroidered panel,Winsome Douglass,___/record/113832?highlight=*:*
River Thames,Unknown,___/record/122785?highlight=*:*
Reclining Female Nude (1961),Gwendolene H. MacKenzie,___/record/22718?highlight=*:*
Landscape (possibly),John Brown,___/record/21428?highlight=*:*
Saucer,Emma Gillies,___/record/53660?highlight=*:*
Abstract Composition in Pale Grey (1994),Paula McQue,___/record/123338?highlight=*:*
Blackbird on Toys,Gordon Mitchell,___/record/22560?highlight=*:*
"Untitled - Abstract Green, Purple and Brown Shapes (1989)",Joanne Leonie Milne,___/record/99388?highlight=*:*
Queen Anne apron (1700-1799),Unknown,___/record/102684?highlight=*:*
Portrait of a Man (1939),Jessie May Stirling,___/record/21134?highlight=*:*
Seated Female Nude (Circa 1948),Marion M Cooper,___/record/122868?highlight=*:*
Blindfolded Woman at Arch,David C Duke,___/record/22551?highlight=*:*
Jug (1920s),Emma Gillies,___/record/53623?highlight=*:*
Untitled - Drawing of Harbour (1967),Isobel T Johnstone,___/record/99255?highlight=*:*
Untitled (1962),Crosier,___/record/22494?highlight=*:*
Portrait of a Man in a Cap (1960),Irene Ellis,___/record/20982?highlight=*:*
Reclining Female Nude (JAN 1958),Walter Miller,___/record/20906?highlight=*:*
Two Standing Male Nudes (24 JAN 1951),Norma G Reid,___/record/21393?highlight=*:*
Untitled (1963),Madelene R Galloway,___/record/99821?highlight=*:*
Sixteen Boxes,John Mooney,___/record/21804?highlight=*:*
Unknown (1950),Patrick W. Barclay,___/record/50621?highlight=*:*
Winged Victory of Samothrace (Post 1879),Musée Royal du Louvre,___/record/20585?highlight=*:*
Untitled - Abstract Ocean of Dark Reds and Greens and Blacks (1993),Norman Shaw,___/record/99463?highlight=*:*
Unknown (MAY 1963),Gregor Smith,___/record/53501?highlight=*:*
Romeing (2013),Marissa Stoffer,___/record/47444?highlight=*:*
Portrait of Seated Woman (25 JAN 1966),George Donald,___/record/21175?highlight=*:*
Untitled (Unknown),Unknown,___/record/21982?highlight=*:*
Seated Female Nude (1953),James Martin,___/record/21059?highlight=*:*
Saucer,Emma Gillies,___/record/53632?highlight=*:*
Untitled (2001),Antonio Marcos Martin,___/record/21921?highlight=*:*
Seated Male Nude in High-back Chair (1969),James Campbell,___/record/21270?highlight=*:*
Unknown,Unknown,___/record/53562?highlight=*:*
Prophet (1953),Ben Zion,___/record/21684?highlight=*:*
Untitled,R. Euman,___/record/112502?highlight=*:*
Standing Female Nude (Circa 1952),David Michie,___/record/21037?highlight=*:*
View of a Fair (1949),David McClure,___/record/21333?highlight=*:*
Small brown female figure with long wavy hair,NA,___/record/20547?highlight=*:*
Unknown,Gibbs,___/record/50415?highlight=*:*
Untitled (Unknown),Victoria C F Bernie,___/record/21786?highlight=*:*
