title,artist,link
Untitled (1983),Robert Rivers,___/record/99807?highlight=*:*
Pale Brushstrokes,Unknown,___/record/122759?highlight=*:*
Unknown,Colin Brown,___/record/53565?highlight=*:*
Seated Female Nude (Circa 1968),Alan T. Johnston,___/record/20748?highlight=*:*
Opuntia Lencotricha (1993-1994),Jane Watt,___/record/99457?highlight=*:*
Still Life in White and Grey,David Giblin,___/record/21519?highlight=*:*
"Bank of the Amstel, Amsterdam (30 AUG 1948)",Marjorie Wallace,___/record/50448?highlight=*:*
Untitled (2007),Rita Marhaug,___/record/99979?highlight=*:*
Unknown (1946),Norma Forrest,___/record/50591?highlight=*:*
Unknown (1960),Hugh Deans,___/record/53574?highlight=*:*
Portrait of a Man (possibly),Claudia Petretti,___/record/21441?highlight=*:*
Seated Female Nude (1939-1940),James H Donaldson,___/record/21125?highlight=*:*
Portrait of a Woman (1958),Dorothy Durward,___/record/21141?highlight=*:*
Portrait of Man in Red Jacket (1968),Michael Docherty,___/record/21178?highlight=*:*
Portrait of a Seated Woman in a Checked Shirt (Circa 1963),Irene G. Thomson,___/record/122787?highlight=*:*
Striding Male Nude (Circa 1939),Ian R McRobbie,___/record/21062?highlight=*:*
Horses from North Frieze of the Parthenon (1836-1837),NA,___/record/20716?highlight=*:*
"Female Faces, Lips and Dots (Circa 1960)",Jennifer M. Hughes,___/record/22531?highlight=*:*
Untitled (1982),Alice Carter,___/record/21579?highlight=*:*
Standing Male Nude Leaning on a Stool (1952),Unknown,___/record/21216?highlight=*:*
Untitled - Portrait of a Man in a Hat (1963),Anthony J Valentine,___/record/99441?highlight=*:*
Still Life - Fish (1961),Thora Clyne,___/record/22640?highlight=*:*
Portrait of a Bearded Man (Circa 1960),Derek Shiel,___/record/20939?highlight=*:*
A Window in an Interior,Morrison,___/record/122707?highlight=*:*
Untitled (Unknown),Zoë Telford,___/record/21619?highlight=*:*
Composition with Hanging Black Jacket and Skirt (1987),Margaret June Redfern,___/record/122791?highlight=*:*
144 (2015),Mark Osborne,___/record/53774?highlight=*:*
Untitled (2014),Rachel Hill,___/record/47451?highlight=*:*
Unknown (Unknown),Unknown,___/record/21903?highlight=*:*
Untitled (1969),James Fleming,___/record/22490?highlight=*:*
Standing Female Nude (31 MAR 1954),John P Busby,___/record/21432?highlight=*:*
Untitled (Unknown),David C Duke,___/record/21983?highlight=*:*
Bathers (1950),Zygmunt Bukowski,___/record/122853?highlight=*:*
Three Female Nudes (1952),Nicholas Patrick Rentiens,___/record/21372?highlight=*:*
Still Life Beside Window (1955),Elizabeth Blackadder,___/record/20738?highlight=*:*
Reclining Female Nude (1967),Helen Pollock,___/record/20772?highlight=*:*
Eight Lines II (2001),Wilhelmina Barns-Graham CBE HRSA HRSW,___/record/54748?highlight=*:*
Figure Seated on Bed,Graeme D. High,___/record/122686?highlight=*:*
Volterra (Circa 1920),William Crozier 1893-1930,___/record/21179?highlight=*:*
Edinburgh Castle,J. McGonigal,___/record/122750?highlight=*:*
Oranges (2018),Jessica Gasson,___/record/102753?highlight=*:*
Untitled I (2007),Jenny Smith,___/record/99899?highlight=*:*
Untitled (1961),Paresh C. Chakraborty,___/record/112305?highlight=*:*
Untitled - Life Drawing of a Bearded Man in Brown Jacket (1967),Isobel T Johnstone,___/record/99252?highlight=*:*
Portrait of a Woman (1958),Irene M. Fotheringham,___/record/22688?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,___/record/20677?highlight=*:*
Seated Male Nude (1954),Robert Fraser,___/record/21243?highlight=*:*
Pattern darned sample,Unknown,___/record/102690?highlight=*:*
Seated Male Nude (1961),Gwendoline Rodger,___/record/21289?highlight=*:*
Untitled (1995),John Wallbank,___/record/21714?highlight=*:*
Untitled (Unknown),David C Duke,___/record/21979?highlight=*:*
Standing Male Nude (DEC 1951),M McKeown,___/record/21225?highlight=*:*
Untitled (1969),Richard Easson,___/record/22493?highlight=*:*
Norwegian Ponies (1953),Mollie E N Langlands,___/record/99218?highlight=*:*
Reclining Female Nude (1969),Gwendoline Rodger,___/record/21276?highlight=*:*
Untitled,Dr Ainslie Yule,___/record/99533?highlight=*:*
Portrait of an Elderly Man (1956),J Salter,___/record/21190?highlight=*:*
Portrait of a Man (1956),Lawrence F. Baxter,___/record/21182?highlight=*:*
Plate (1920s),Emma Gillies,___/record/53704?highlight=*:*
"Funerary Statue of Marcellus, nephew of Augustus",Unknown,___/record/20587?highlight=*:*
Car Interior,Elise Brown,___/record/21495?highlight=*:*
Oscillation Three (2015),Mark Osborne,___/record/53776?highlight=*:*
Untitled,William Breckenridge,___/record/21458?highlight=*:*
Untitled - Two Apes Sun Bathing (1963),Ann F Ward,___/record/99347?highlight=*:*
Portrait of a Seated Woman (1954),Margaret Proudfoot,___/record/21212?highlight=*:*
Self Portrait (1966),John Bellany,___/record/20741?highlight=*:*
Unknown (JAN 1984),Moyna Flannigan,___/record/50404?highlight=*:*
